"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cox8a",2.01520558913165e-44,0.671391342621412,0.997,0.992,5.06401012492892e-40
"Rpl39",1.67019071873971e-37,0.699147233777417,0.906,0.817,4.19702225712102e-33
"Mt1",1.64646052396536e-36,0.830509490179912,0.99,0.984,4.13739065067254e-32
"Rpl41",2.02835707901207e-34,0.517289145265809,0.999,0.996,5.09705850384943e-30
"Cox7c",6.77442539798108e-34,0.53976737484708,0.976,0.972,1.70234535825866e-29
"Sem1",2.56321460783846e-31,0.654881423549642,0.91,0.895,6.44110198803727e-27
"Gnal",1.37500506160279e-30,-0.35050148527714,0.999,1,3.45525021930166e-26
"Hspa8",3.6183648532462e-30,0.490475832642116,1,0.999,9.09258903972237e-26
"Hist1h1e",3.74606504540691e-29,-0.937789285472502,0.332,0.622,9.41348685260303e-25
"Gm42418",5.92189244303983e-29,-1.04371302780568,0.987,0.996,1.48811235201148e-24
"Gng13",3.09619379639594e-28,0.439115907091332,1,1,7.78042539096335e-24
"Ndufa4",7.67754087394669e-28,0.485056658936323,0.996,0.997,1.92928924621406e-23
"Atp5e",3.77541439200965e-27,0.703077976443481,0.918,0.882,9.48723882568106e-23
"Atf5",2.10342637077387e-26,0.390420192491066,0.999,1,5.28570012711766e-22
"Nme7",2.66845331635278e-26,-1.01787779807063,0.439,0.753,6.7055563386629e-22
"Atp5mpl",3.78743138424584e-26,0.571393302043062,0.905,0.891,9.51743632547137e-22
"Rpl35a",5.66419481630583e-26,0.635109193628752,0.906,0.849,1.42335551538949e-21
"Rpl37",2.4331618499754e-25,0.634256415612288,0.924,0.854,6.11429241280317e-21
"Rps15a",9.6405681584726e-25,0.592459684205911,0.94,0.908,2.42257837254258e-20
"Rpl27",1.31836938695871e-24,0.594258415827459,0.95,0.934,3.31293043248855e-20
"Ubc",1.15875339678081e-23,0.589006162398991,0.855,0.829,2.9118314107705e-19
"Rps21",2.53183187651054e-23,0.642477455737976,0.924,0.845,6.36224032248334e-19
"Cox5b",3.47332526551511e-23,0.527760393695709,0.981,0.982,8.72811905971292e-19
"Rps26",3.5098551532613e-23,0.656680550750018,0.909,0.856,8.81991501463033e-19
"Cox7a2",1.25161667527021e-22,0.50150045456282,0.929,0.938,3.1451875432865e-18
"Ndufa1",2.06751205687318e-22,0.619162619164293,0.784,0.747,5.19545104771662e-18
"Kirrel2",3.2996943799106e-22,0.917557730002854,0.689,0.589,8.29180200727734e-18
"Atp5l",5.82826266707995e-22,0.532737515258084,0.953,0.954,1.46458412561052e-17
"mt-Atp6",7.76770455234079e-22,-0.349243640982483,0.999,0.999,1.95194647695772e-17
"Atp5j",3.13701326467313e-21,0.544046994556545,0.958,0.958,7.88300063279711e-17
"Cox6c",3.66715326035676e-21,0.556072065577846,0.96,0.955,9.21518942795049e-17
"Itm2b",4.83367056300055e-21,0.465910712275119,0.94,0.939,1.21465307577641e-16
"Mdh2",5.32130915120187e-21,0.403843339851824,0.783,0.811,1.33719177660552e-16
"Ubl5",5.48735534303902e-21,0.549673192786481,0.834,0.822,1.37891752415228e-16
"Rpl37a",2.33022300773682e-20,0.542554446268228,0.983,0.965,5.85561739614186e-16
"Gapdh",3.35450014165403e-20,0.344369343781549,0.993,0.994,8.42952340596241e-16
"Ubb",4.53258707975603e-20,0.37344422810371,1,1,1.13899380727189e-15
"Eif1",5.3333559134927e-20,0.378716972150742,1,1,1.34021900750158e-15
"Uqcrb",5.69299243260708e-20,0.563569646949448,0.813,0.791,1.43059206838983e-15
"Rpl38",7.12733794522368e-20,0.512976497525647,0.938,0.888,1.79102875225526e-15
"Atp5md",8.19246455653861e-20,0.550473538316086,0.866,0.854,2.05868441841259e-15
"Rpl34",1.07896322224932e-19,0.527894791639748,0.972,0.96,2.71132668119032e-15
"Acsm4",1.1966988898367e-19,-0.890696601353983,0.272,0.554,3.00718464027065e-15
"Nqo1",1.5699952405599e-19,-0.925347004076737,0.343,0.607,3.94524104000296e-15
"Gm10076",3.66160843273165e-19,0.738915787832041,0.667,0.525,9.20125583061137e-15
"Ndufa7",4.55411564819321e-19,0.52972081600331,0.804,0.795,1.14440372123447e-14
"Spcs1",7.02333080546066e-19,0.332270147928664,0.821,0.863,1.76489279810421e-14
"Rpl30",9.525687635526e-19,0.435898156860138,0.987,0.986,2.39371004593133e-14
"Atox1",1.19576639747321e-18,0.47277690209141,0.989,0.988,3.00484138021044e-14
"Atp5j2",1.22985240982648e-18,0.552934495950176,0.917,0.916,3.09049612065295e-14
"Rpl27a",1.43386770418005e-18,0.421572757727839,0.965,0.955,3.60316615383405e-14
"Hnrnpm",2.50115222896614e-18,-0.411519631862165,0.794,0.935,6.28514543616901e-14
"Ppia",3.02377216906719e-18,0.397429908379119,0.998,0.996,7.59843708364895e-14
"Efcab10",5.48932963666164e-18,0.474919627525882,0.733,0.727,1.3794136443967e-13
"Cox6b1",9.36040676087892e-18,0.456463131623046,0.928,0.944,2.35217661494127e-13
"Atpif1",1.71315765585317e-17,0.485360271776713,0.97,0.973,4.30499387339342e-13
"Npm1",3.18711086143401e-17,0.426332902724392,0.78,0.8,8.00889088369752e-13
"Prdx1",3.5933723424262e-17,0.740977057309941,0.817,0.748,9.02978535928279e-13
"Arl6ip5",3.8322257801618e-17,-1.19950255881462,0.187,0.458,9.63000016296858e-13
"Gabarapl2",3.98019914493385e-17,0.401880707667055,0.958,0.97,1.00018424313043e-12
"Rpl36a",8.56728076898695e-17,0.613044508396922,0.603,0.542,2.15287198443873e-12
"Fau",8.72887110717877e-17,0.385365629465048,0.997,0.997,2.19347802052295e-12
"Rplp1",1.23279063502073e-16,0.430100129979186,0.991,0.984,3.0978795867436e-12
"Ndufv3",1.45875238106738e-16,0.489951221619705,0.963,0.97,3.66569885838422e-12
"Unc13c",1.50926965349359e-16,-0.653178323257724,0.325,0.544,3.79264371226404e-12
"Dlg2",2.48079289507226e-16,1.12111084505431,0.473,0.503,6.23398446602708e-12
"Ndufa6",2.68502211082604e-16,0.41882281611004,0.709,0.727,6.74719206229475e-12
"Sdcbp",2.71809672858416e-16,0.305325147747655,0.751,0.805,6.83030526925914e-12
"Sec62",3.20095496239628e-16,0.318901217923251,0.9,0.926,8.04367972500562e-12
"Ier2",3.57605689980721e-16,0.864969213084495,0.385,0.278,8.98627338352554e-12
"Rpl36al",3.82982554435735e-16,0.630353284510995,0.746,0.71,9.62396861041559e-12
"Rpl23",4.60490927491037e-16,0.414889625583303,0.992,0.989,1.15716765169223e-11
"Cox6a1",5.43363252793507e-16,0.500600426487371,0.927,0.936,1.3654175179448e-11
"Rpl22",5.864020785931e-16,0.636766647714776,0.73,0.67,1.4735697832966e-11
"Lars2",8.29511767479085e-16,-0.745107447338005,0.497,0.761,2.08448012049819e-11
"Nxph3",9.2797704251252e-16,-0.467481354003163,0.534,0.744,2.33191351012971e-11
"Ost4",1.09519975362919e-15,0.655192346444688,0.607,0.551,2.75212746089479e-11
