"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140236","GO:0140236","translation at presynapse","11/146","47/28832",0.234042553191489,46.2185951617604,22.1337072591354,5.703134172572e-16,4.80566847972218e-13,4.0815160312408e-13,"Rpl35a/Rpl37/Rps15a/Rpl27/Rps26/Rpl37a/Rpl38/Rpl34/Rpl36a/Rpl22/Rps28",11
"GO:0140241","GO:0140241","translation at synapse","11/146","48/28832",0.229166666666667,45.2557077625571,21.8920091111241,7.36689087336052e-16,4.80566847972218e-13,4.0815160312408e-13,"Rpl35a/Rpl37/Rps15a/Rpl27/Rps26/Rpl37a/Rpl38/Rpl34/Rpl36a/Rpl22/Rps28",11
"GO:0140242","GO:0140242","translation at postsynapse","11/146","48/28832",0.229166666666667,45.2557077625571,21.8920091111241,7.36689087336052e-16,4.80566847972218e-13,4.0815160312408e-13,"Rpl35a/Rpl37/Rps15a/Rpl27/Rps26/Rpl37a/Rpl38/Rpl34/Rpl36a/Rpl22/Rps28",11
"GO:0002181","GO:0002181","cytoplasmic translation","15/146","173/28832",0.0867052023121387,17.1224958429013,15.1738607019497,1.36466912535809e-14,6.67664369581446e-12,5.67055933931691e-12,"Rpl39/Rpl41/Rpl35a/Rpl37/Rps15a/Rpl27/Rps21/Rps26/Rpl37a/Rpl38/Rpl34/Rpl36a/Rpl22/Rpl22l1/Rps28",15
"GO:0006119","GO:0006119","oxidative phosphorylation","12/146","154/28832",0.0779220779220779,15.388009251023,12.7719709629662,2.32623018519078e-11,9.1048649448367e-09,7.73287886824471e-09,"Cox8a/Cox7c/Cox5b/Cox7a2/Ndufa1/Cox6c/Uqcrb/Ndufa7/Cox6a1/mt-Atp8/Uqcr11/mt-Nd6",12
"GO:0019646","GO:0019646","aerobic electron transport chain","9/146","66/28832",0.136363636363636,26.9290161892902,15.0449085589599,4.94195624204491e-11,1.61190139428031e-08,1.36900858003314e-08,"Cox8a/Cox7c/Cox5b/Cox7a2/Uqcrb/Ndufa7/Cox6a1/Uqcr11/mt-Nd6",9
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","9/146","81/28832",0.111111111111111,21.9421613394216,13.4650762510189,3.26648724147418e-10,9.13216504509283e-08,7.75606519441765e-08,"Cox8a/Cox7c/Cox5b/Cox7a2/Uqcrb/Ndufa7/Cox6a1/Uqcr11/mt-Nd6",9
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","9/146","83/28832",0.108433734939759,21.4134345601584,13.2866360705787,4.08035754914177e-10,9.98157465458806e-08,8.47747969749324e-08,"Cox8a/Cox7c/Cox5b/Cox7a2/Uqcrb/Ndufa7/Cox6a1/Uqcr11/mt-Nd6",9
"GO:0009060","GO:0009060","aerobic respiration","12/146","206/28832",0.058252427184466,11.5036574012502,10.79356990281,6.83481054515395e-10,1.48619158187403e-07,1.26224161997638e-07,"Cox8a/Cox7c/Cox5b/Cox7a2/Ndufa1/Cox6c/Uqcrb/Ndufa7/Cox6a1/mt-Atp8/Uqcr11/mt-Nd6",12
"GO:0022904","GO:0022904","respiratory electron transport chain","9/146","105/28832",0.0857142857142857,16.9268101761252,11.6640561109962,3.39503603881331e-09,6.64408552795765e-07,5.64290726872234e-07,"Cox8a/Cox7c/Cox5b/Cox7a2/Uqcrb/Ndufa7/Cox6a1/Uqcr11/mt-Nd6",9
