"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",1.31660781295043e-121,2.51860737433175,0.965,0.227,3.30850377316315e-117,"0","Dcdc2a"
"2",1.98254357902431e-108,2.76910550241266,0.843,0.154,4.98193375973018e-104,"0","Cartpt"
"3",3.07064242798323e-92,2.54477212541615,0.793,0.15,7.71621735727905e-88,"0","Gm11992"
"4",2.77286679420864e-63,2.52985554218281,0.604,0.111,6.9679369671669e-59,"0","Pth2"
"5",1.85674921499789e-50,3.30787791978131,0.529,0.113,4.66582510236819e-46,"0","Nqo1"
"6",2.07790532339509e-49,2.34246340298344,0.505,0.124,5.22156828715953e-45,"1","Dlg2"
"7",1.64230622614185e-38,2.47238204722445,0.51,0.1,4.12695131567185e-34,"1","Gldc"
"8",3.65870013258176e-38,2.44279527556203,0.439,0.09,9.19394756316471e-34,"1","2010204K13Rik"
"9",1.86227571587769e-24,2.59185430712113,0.373,0.068,4.67971264642904e-20,"1","Cidea"
"10",3.6235281953177e-24,2.41989789714974,0.267,0.051,9.10556400201386e-20,"1","Gm42912"
"11",6.178888101355e-157,6.99493432799944,0.913,0.016,1.5526927909895e-152,"2","Ms4a7"
"12",2.50917849671822e-99,6.86602145891064,0.7,0.016,6.30531464440321e-95,"2","Trem2"
"13",1.52426018441536e-79,6.84615708409719,0.556,0.012,3.83031341741736e-75,"2","Mrc1"
"14",2.8427169198028e-64,7.15072115951532,0.493,0.007,7.14346334777247e-60,"2","Pf4"
"15",3.36792354261431e-64,8.61472870385161,0.498,0.004,8.4632550702355e-60,"2","Fcrls"
"16",3.03710631260934e-149,4.98771790105505,0.919,0.077,7.631944452956e-145,"3","Sfn"
"17",1.26124132109558e-137,5.31685838354462,0.815,0.032,3.16937331578107e-133,"3","Krt15"
"18",3.36414023097286e-126,5.14972063756507,0.796,0.037,8.4537479864117e-122,"3","Ccdc3"
"19",4.9182195359592e-67,6.02725307072539,0.471,0.008,1.23589938719119e-62,"3","Serpinb5"
"20",9.72078683127178e-44,7.01425446921209,0.331,0.003,2.44273652283029e-39,"3","Acaa1b"
"21",1.32188268708635e-100,8.90605998745121,0.66,0.005,3.32175900437928e-96,"4","Iglc2"
"22",7.86622505618311e-93,8.41005674780489,0.564,0.005,1.97670369436825e-88,"4","Ighd"
"23",9.69982205565042e-75,8.54616515226081,0.531,0.004,2.4374682843644e-70,"4","Fcmr"
"24",3.44743900391623e-44,8.61065089158058,0.331,0.002,8.6630694729411e-40,"4","Fcer2a"
"25",3.44805070070678e-40,8.56261245636254,0.349,0.004,8.66460660580606e-36,"4","Iglc1"
"26",7.27744072845175e-156,10.3153670172054,0.887,0.003,1.82874808065264e-151,"5","Ptprb"
"27",4.95338181283205e-135,10.1546191326915,0.769,0.003,1.24473531574656e-130,"5","Emcn"
"28",2.19356909144621e-68,10.2062755819116,0.505,0.001,5.51221976989519e-64,"5","Sox18"
"29",5.4141996115799e-49,11.5462673674336,0.386,0,1.36053422039391e-44,"5","Gpihbp1"
"30",4.0907987625095e-32,10.3729322293767,0.28,0.001,1.02797682103101e-27,"5","Rbp7"
"31",8.19931952325292e-137,6.4463818936109,0.806,0.036,2.06040700299823e-132,"6","Gap43"
"32",3.25467271207091e-77,5.3641345310189,0.551,0.02,8.17866705816299e-73,"6","Ly6h"
"33",5.86662317359888e-71,6.11199627844695,0.486,0.013,1.47422373729366e-66,"6","Stk32a"
"34",7.79257460302198e-42,5.79400678569813,0.314,0.008,1.95819607199339e-37,"6","Prph"
"35",2.30494814647558e-32,5.02431158545203,0.276,0.014,5.79210419727847e-28,"6","Gng3"
"36",1.13535326731965e-41,8.87176827343661,0.308,0.001,2.85302922544754e-37,"7","Gm2682"
"37",8.23418799754491e-41,8.80075264910408,0.336,0.002,2.06916910190306e-36,"7","Xcl1"
"38",1.33813804350662e-39,9.16084445214549,0.311,0.001,3.36260708952779e-35,"7","Prf1"
"39",1.36420186282901e-31,9.2690737077637,0.285,0.001,3.42810286110303e-27,"7","Klrb1c"
"40",9.52970225302047e-28,9.25736122178151,0.255,0.001,2.39471887916151e-23,"7","Ncr1"
"41",9.10110618713886e-100,9.35949775253816,0.645,0.004,2.28701697376612e-95,"8","Mfap4"
"42",4.7644902605927e-95,9.26157229284982,0.636,0.003,1.19726875758434e-90,"8","Sfrp2"
"43",4.49595523028278e-44,10.092448584345,0.308,0.001,1.12978858981776e-39,"8","Dpt"
"44",1.98367419605488e-38,9.66781749988741,0.294,0.001,4.98477488726631e-34,"8","Dpep1"
"45",4.05647065952224e-34,9.19025289410895,0.28,0.001,1.01935051203134e-29,"8","Hhip"
"46",2.72083274547521e-135,7.68160456323766,0.817,0.012,6.83718060610465e-131,"9","Nrcam"
"47",2.1539320675269e-96,7.77439355461831,0.652,0.006,5.41261589248836e-92,"9","Abca4"
"48",1.49878930143102e-94,6.34775025500361,0.631,0.012,3.76630763556601e-90,"9","Vit"
